id,category,sub_category,criteria_term,response_term,mth_name,created_at,updated_at
128,staffer,job_titles,Used Car Director,Used Car Director,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
129,staffer,job_titles,Regional Development Exec,Regional Development Exec,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
130,staffer,job_titles,Used Car Manager,Used Car Manager,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
131,staffer,job_titles,Variable Operations Director,Variable Operations Director,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
132,staffer,job_titles,Area VP,Area VP,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
133,staffer,job_titles,Controller,Controller,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
134,staffer,job_titles,Asst. Treasurer,Asst. Treasurer,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
135,staffer,job_titles,Account Director,Account Director,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
136,staffer,job_titles,Director,Director,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
137,staffer,job_titles,Account Executive,Account Executive,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
138,staffer,job_titles,Attorney,Attorney,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
139,staffer,job_titles,Accounts Payable,Accounts Payable,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
140,staffer,job_titles,COO,COO,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
141,staffer,job_titles,Administrative,Administrative,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
142,staffer,job_titles,Business Development Manager,Business Development Manager,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
143,staffer,job_titles,AR/Billing,AR/Billing,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
144,find_temp,at_css,searchoptics,Search Optics,search_optics_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
145,find_temp,at_css,Dealer Direct,Dealer Direct,dealer_direct_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
146,find_temp,at_css,forddirect,Dealer Direct,dealer_direct_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
147,find_temp,at_css,dealereprocess,DEALER eProcess,dealer_eprocess_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
148,find_temp,at_css,autojini,AutoJini,autojini_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
149,find_temp,at_css,dealersocket,Dealer Socket,dealer_socket_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
150,find_temp,at_css,Dealer Spike,Dealer Spike,dealer_spike_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
151,find_temp,at_css,DealerFire,DealerFire,dealerfire_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
152,find_temp,at_css,dealeron,DealerOn,dealeron_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
153,find_temp,at_css,DealerPeak,DealerPeak,dealerpeak_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
154,find_temp,at_css,dealertrend,DealerTrend,dealertrend_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
155,find_temp,at_css,Dominion Dealer Solutions,Dominion,dominion_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
156,find_temp,at_css,drivewebsite.com,Drive Website,drive_website_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
157,find_temp,at_css,drivingforceauto,Driving Force,driving_force_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
158,find_temp,at_css,DForce Web,Driving Force,driving_force_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
159,find_temp,at_css,cobalt,Cobalt,cobalt_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
160,find_temp,at_css,chapman,Chapman.co,chapman_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
161,find_temp,at_css,Autofusion,Autofusion,autofusion_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
162,find_temp,at_css,Dealer Car Search,DealerCar Search,dealercar_search_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
163,find_temp,at_css,I/O COM,I/O COM,io_com_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
164,find_temp,at_css,DLD Websites,DLD Websites,dld_websites_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
165,find_temp,at_css,autofunds.com,Autofunds,autofunds_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
166,find_temp,at_css,ebizautos.com,eBizAutos,ebizautos_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
167,find_temp,at_css,foxdealer,FoxDealer,foxdealer_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
168,find_temp,at_css,fusionZONE,fusionZONE,fusionzone_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
169,find_temp,at_css,fzautomotive,fusionZone,fusionzone_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
170,find_temp,at_css,jazel,Jazel Auto,jazel_auto_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
171,find_temp,at_css,motionfuze,Motion Fuze,motion_fuze_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
172,find_temp,at_css,motorwebs,Motorwebs,motorwebs_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
173,find_temp,at_css,di_homepage,Dealer Inspire,dealer_inspire_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
174,find_temp,at_css,DDC,Dealer.com,dealer_com_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
175,find_temp,at_css,serpcom,SERPCOM,serpcom_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
176,find_temp,at_css,slipstream,Slip Stream,slip_stream_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
177,find_temp,at_css,pixelmotion,Pixel Motion,pixel_motion_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
178,find_temp,at_css,remorainc,Remora,remora_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
179,find_temp,at_css,VinSolutions,VinSolutions,vinsolutions_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
180,find_temp,at_css,All Auto Network,All Auto Network,all_auto_network_rts,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
181,url_redirect,error_msg,404 => Net::HTTPNotFound,404 Error,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
182,url_redirect,error_msg,400 => Net::HTTPBadRequest,400 Error,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
183,url_redirect,error_msg,500 => Net::HTTPInternalServerError,500 Error,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
184,url_redirect,error_msg,504 => Net::HTTPGatewayTimeOut,504 Error,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
185,url_redirect,error_msg,nil:NilClass,Nil Error,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
186,url_redirect,error_msg,TCP connection,TCP Error,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
187,url_redirect,error_msg,undefined method,Method Error,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
188,url_redirect,error_msg,SSL_connect returned,SSL Error,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
189,url_redirect,error_msg,503 => Net::HTTPServiceUnavailable,503 Error,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
190,url_redirect,error_msg,403 => Net::HTTPForbidden,403 Error,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
191,url_redirect,error_msg,Errno::ECONNRESET,Reset Error,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
192,url_redirect,error_msg,410 => Net::HTTPGone,410 Error,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
1,find_page,staff_text,Cobalt,meetourteam,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
17,find_page,staff_text,Dealer Inspire,meetourstaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
29,find_page,staff_href,general,/buick_and_gmc_staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
