act_name,city,state
Larry H. Miller Lexus Murray/Lindon,Murray,UT
Honda Cars of McKinney,McKinney,TX
Rick Hendrick Imports,Charleston,SC
Wolfchase Toyota Scion,Cordova,TN
Porsche North Scottsdale,Phoenix,AZ
Herb Chambers Audi Porsche of Burlington,Burlington,MA
Serra Chevrolet-Buick-GMC - Nashville,Madison,TN
"Fitzgerald Auto Mall - Frederick, MD",Frederick,MD
"Cardinale GMC, Nissan - Audi of Monterey",Seaside,CA
Hoover Toyota,Hoover,AL
CardinaleWay Hyundai - Genesis - Volkswagen,Corona,CA
Larry H. Miller Dodge RAM Tucson,Tucson,AZ
Hendrick Chevrolet,Cary,NC
Audi San Diego,San Diego,CA
Jim Koons - Silver Spring Ford/Lincoln/Mazda,Silver Spring,MD
BMW of Murrieta,Murrieta,CA
Kuni Lexus of Greenwood Village,Greenwood Village,CO
Ray Catena Lexus of Monmouth,Oakhurst,NJ
Ourisman Toyota Chantilly,Chantilly,VA
East Madison Toyota,Madison,WI
Round Rock Honda,Round Rock,TX
Rick Hendrick Chevrolet of Buford,Buford,GA
Taylor Chevrolet,Taylor,MI
Chapman Honda,Tucson,AZ
Wilde Chrysler Jeep Dodge Subaru,Waukesha,WI
Mercedes-Benz of Littleton,Littleton,CO
Huffines Chrysler Jeep Dodge Ram Lewisville,Lewisville,TX
Jaguar North Scottsdale,Phoenix,AZ
Serra Traverse City,Traverse City,MI
Jack Maxton Chevrolet,Worthington,OH
Jim Koons - Falls Church Ford,Falls Church,VA
Findlay Honda Henderson,Henderson,NV
Prestige Imports,Lakewood,CO
Elmore Toyota,Westminster,CA
Larry H. Miller Chrysler Jeep Dodge Ram Boise,Boise,ID
Georgetown Mac Haik Dodge Chrysler Jeep,Georgetown,TX
Mullinax Ford of Lake Park,Lake Park,FL
Hendrick Toyota Scion Concord,Concord,NC
Ed Morse Delray Toyota,Delray Beach,FL
Rick Hendrick City Chevrolet,Charlotte,NC
Herb Chambers Toyota Hyundai Scion of Auburn,Auburn,MA
Kings Honda,Cincinnati,OH
Rick Hendrick Toyota Sandy Springs,Atlanta,GA
Landmark Ford Lincoln,Tigard,OR
Ray Catena Jaguar/Land Rover,Edison,NJ
Chapman‰Û¡ÌÝå»s Las Vegas Dodge LLC,Las Vegas,NV
Larry H. Miller Toyota Scion Murray,Murray,UT
Herb Chambers Mercedes-Benz of Natick,Natick,MA
Toyota Place,Garden Grove,CA
Fletcher Jones Audi,Chicago,IL
Jim Koons - Annapolis Toyota,Annapolis,MD
Hendrick Toyota Scion North Charleston,North Charleston,SC
Honda Mall of Georgia,Buford,GA
Audi Palo Alto,Palo Alto,CA
Mike Shaw Toyota,Corpus Christi,TX
Larry H. Miller Toyota Scion Lexus Spokane,Spokane,WA
Harold Zeigler Lincoln BMW Chrysler Honda,Kalamazoo,MI
Hendrick Lexus Kansas City,Merriam,KS
Mile High Honda Acura,Denver,CO
Nissan of Downtown LA,Los Angeles,CA
Capitol Honda,San Jose,CA
Land Rover South Dade,Miami,FL
Hendrick Buick GMC Cadillac,Cary,NC
Tempe Honda,Tempe,AZ
Holman Toyota,Mt. Laurel,NJ
Porsche of Downtown LA,Los Angeles,CA
BMW/MINI of Ontario,Ontario,CA
CardinaleWay Mazda - Arizona,Mesa,AZ
Serra Chevrolet-Cadillac-Buick-GMC-KIA - Jackson,Jackson,TN
Coral Springs Nissan,Coral Springs,FL
Mullinax Ford Mobile Alabama,Mobile,AL
Larry H. Miller Chrysler Dodge Jeep Ram 104th,Thornton,CO
Gillman Chrysler Jeep Dodge South,Houston,TX
